clip,method,frames,boundary_te,bd_te,outside_changed_fraction,outside_change_mean,extra_mask_ratio,inside_change_mean,residue_diff_le_10
scooter-black,Ours-Conservative,43,0.12220421433448792,0.12220421433448792,0.01412113569676876,0.0036912355571985245,0.2758084237575531,0.3704190254211426,0.047426462173461914
scooter-black,Ours-Balanced,43,0.12042512744665146,0.12042512744665146,0.022961650043725967,0.005819821730256081,0.6601058840751648,0.37733298540115356,0.045728351920843124
shooting,Boundary-only,40,0.13349461555480957,0.13349461555480957,0.004871404264122248,0.0008555807289667428,0.08275426924228668,0.22668857872486115,0.05867987871170044
shooting,Temporal union,40,0.08004770427942276,0.08004770427942276,0.1272762268781662,0.02030857466161251,0.8716527223587036,0.2686844766139984,0.03600984811782837
shooting,Area-matched dilation,40,0.13042163848876953,0.13042163848876953,0.007696361746639013,0.0013051495188847184,0.13155296444892883,0.23180453479290009,0.05155259370803833
shooting,Ours-Conservative,40,0.12841112911701202,0.12841112911701202,0.008378462865948677,0.0013500181958079338,0.13155575096607208,0.22630620002746582,0.05278993770480156
shooting,Ours-Balanced,40,0.11744222790002823,0.11744222790002823,0.023649165406823158,0.0036714058369398117,0.28770944476127625,0.24096572399139404,0.04497675970196724
soapbox,Boundary-only,99,0.04716616868972778,0.04716616868972778,0.011060649529099464,0.0027193897403776646,0.22613613307476044,0.25249189138412476,0.020833879709243774
soapbox,Temporal union,99,0.04002905637025833,0.04002905637025833,0.18946564197540283,0.03110329806804657,8.548537254333496,0.25684016942977905,0.01928512193262577
soapbox,Area-matched dilation,99,0.04745453968644142,0.04745453968644142,0.013438268564641476,0.003069974947720766,0.35549890995025635,0.2510995864868164,0.02049095742404461
soapbox,Ours-Conservative,99,0.04687612131237984,0.04687612131237984,0.01339221466332674,0.0030977020505815744,0.3598758280277252,0.2519281804561615,0.02076045610010624
soapbox,Ours-Balanced,99,0.0445808544754982,0.0445808544754982,0.026087548583745956,0.005283372476696968,0.8845551609992981,0.25155162811279297,0.020061518996953964
